DROP_REASON,Domain,Name,Industry Groups,Keywords,Description,Social URLs,Score,Employees,Similarity,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date
low similarity (91) in 1-10 band,kdfactors.com,"KD Factors & Financial Services, LLC",FINANCIAL_SERVICES:1.0,"grapevine invoice:0.57, businesses grapevine:0.57, factoring grapevine:0.54, grapevine tx:0.52, invoice factoring:0.52, business factoring:0.49, services factoring:0.49, factoring companies:0.46, texas businesses:0.46, trucking banks:0.42, staffing freight:0.36, financing client:0.34, term clients:0.34, start ups:0.31, brokers resources:0.31","KD Factors is a family-owned invoice factoring company based in Grapevine, Texas, that provides financing solutions for small to midsize and start-up businesses by purchasing accounts receivable. The service focuses on helping clients improve their cash flow through tailored financing strategies, particularly those involved in staffing, transportation, and manufacturing. Key features include personalized support throughout the entire process, from initial assessments to long-term growth, ensuring clients receive favorable rates and competitive interest.","https://www.linkedin.com/company/kd-factors-&-financial-services-llc, https://www.facebook.com/kdfactorsfinancialservicesllc, https://www.youtube.com/channel/UCJN5bFyP_i0OLU6tSN59SpA",220,1-10,91,2016-07-08,206 North Dove Road,Grapevine,TX,76099,US,"+18003112191, +18173281924, +18173281934",,,2026-03-26
low similarity (91) in 11-50 band,outsourcefinancialservices.com,Outsource Financial Services,FINANCIAL_SERVICES:1.0,"invoice factoring:0.6, factor invoices:0.59, invoices factored:0.59, services invoice:0.52, industries invoice:0.51, factoring services:0.5, invoice funding:0.5, factoring company:0.46, truck factoring:0.46, association denver:0.43, factoring denver:0.43, billing department:0.42, industries accounts:0.41, recommend outsource:0.4, agencies blog:0.34","Outsource Financial Services (OFS) is a Denver-based company that provides invoice factoring solutions for small businesses across various industries. Their main service allows companies to receive cash for unpaid invoices within 24 to 48 hours, with unlimited credit checks to assess customer creditworthiness and mitigate payment risks. OFS offers tailored financing options based on the specific needs of each business, ensuring quick approvals and personalized support in both English and Spanish. The company has over 20 years of experience and serves clients nationwide, focusing on improving financial stability and operational efficiency.","https://www.instagram.com/outsourcefinancialservices, https://www.youtube.com/@outsourcefinancialservicesinc.",191,11-50,91,2020-07-08,5145 N. Joliet Street,Denver,CO,80239,US,+18009977330,,,2026-04-01
low similarity (91) in 11-50 band,powerfundingltd.com,Power Funding LTD,FINANCIAL_SERVICES:0.99,"invoice factoring:0.53, factoring funded:0.47, power funding:0.47, trucking industry:0.47, texas invoice:0.45, cash invoices:0.45, power credit:0.45, cash factoring:0.44, oilfield funding:0.43, factoring industry:0.42, factoring service:0.41, provides payroll:0.39, cash flow:0.38, businesses power:0.37, start fees:0.36","Power Funding LTD is a company that provides invoice factoring services to businesses in various industries, including trucking, manufacturing, and staffing. Their main functionality includes purchasing accounts receivable for immediate cash, offering same-day advances, and providing credit research through an online system available 24/7. They operate across Texas, nationwide, and cater to medium and large businesses with tailored financing solutions to help manage their cash flow effectively.",,111,11-50,91,2016-11-08,815 N. Zaragoza Rd,El Paso,TX,79936,US,"+12813603372, +12813603863, +19035334085, +19035618597, +19158561665, +19158561755, +12103052219",,,2026-03-19
low similarity (91) in 1-10 band,infusionfunding.com,Infusion Funding,FINANCIAL_SERVICES:0.99,"invoice factoring:0.65, factoring invoice:0.63, factor invoices:0.61, factoring financing:0.56, factoring needs:0.55, factoring provider:0.53, funding invoice:0.53, comprehensive factoring:0.51, factoring contract:0.5, factoring options:0.5, factoring purchase:0.49, business factoring:0.47, selective invoice:0.47, infusion funding:0.46, solutions monthly:0.38","Infusion Funding offers invoice factoring solutions to help businesses improve their cash flow by allowing them to pay invoices without requiring a long-term commitment. Their services include selective factoring, all-inclusive factoring for companies that prefer flexible financing options, and purchase order finance for suppliers. With over 25 years of experience, Infusion Funding aims to support various industries by providing advances against outstanding invoicing across different sectors such as staffing, manufacturing, transportation, and government contracting.","https://www.linkedin.com/company/infusion-funding, https://facebook.com/infusionfunding, https://twitter.com/infusionfunding",127,1-10,91,2018-07-04,2227 Us Hwy 1,North Brunswick,NJ,08902,US,+12015409210,info@infusionfunding.com,,2026-04-11
low similarity (91) in 1-10 band,simplicityfinancialsolutions.com,Simplicity Financial Solutions LLC,FINANCIAL_SERVICES:1.0,"invoice factoring:0.7, factoring invoices:0.68, invoices factor:0.65, invoices cash:0.6, invoices business:0.58, business invoices:0.58, business invoice:0.58, sell invoices:0.57, paid invoices:0.56, factoring business:0.55, factoring cash:0.54, factoring fees:0.51, factoring bank:0.51, simplicity financial:0.45, financing solution:0.39","Simplicity Financial Solutions offers invoice factoring services to help businesses secure cash through their outstanding invoices. This service allows companies to sell their existing business invoicing, providing quick funding without the need for long-term contracts or upfront fees. Key features include same-day funding options, flexible pricing starting at $2 million, and a straightforward application process that includes onboarding and ongoing support after payment.",,90,1-10,91,2018-09-13,,Myrtle Beach,SC,,US,"+18005456691, +19733377632",info@simplicityfs.com,,2026-04-02
low similarity (90) in 1-10 band,adfininc.net,AdFin Inc,FINANCIAL_SERVICES:1.0,"factoring service:0.62, invoice factoring:0.6, factored invoices:0.56, freight factoring:0.55, services adfininc:0.53, offer factoring:0.53, factor businesses:0.52, factoring trucking:0.52, contact adfin:0.49, factoring rates:0.47, specialty factoring:0.47, login factoring:0.46, financial services:0.45, directly bank:0.4, upload fees:0.4","AdFin Inc. provides invoice factoring services to help businesses manage their collections and increase cash flow. Their main functionality includes offering same-day funding for invoices, with no hidden fees or application costs. They specialize in the transportation industry and provide flexible options such as refunding and non-recourse factoring. Clients receive immediate funds directly into their bank accounts on the day they receive their invoicing.",https://www.facebook.com/adfininc,77,1-10,90,2019-08-14,,Oak Brook,IL,60523,US,+16302301888,katrychigor@adfininc.com,,2026-04-03
low similarity (90) in 1-10 band,obcfactoringcompany.com,Odyssey Business Credit,FINANCIAL_SERVICES:1.0,"factoring companies:0.58, startups banks:0.58, businesses banks:0.58, factoring bank:0.57, business credit:0.57, funding b2b:0.52, business funding:0.52, b2b companies:0.51, business financial:0.51, invoice factoring:0.51, factoring b2b:0.51, start creditworthy:0.5, factoring entrepreneurial:0.48, loans small:0.43, receivables businesses:0.42","O Odyssey Business Credit offers invoice factoring services for small and growing businesses, as well as B2B companies. The service provides immediate cash infusion by purchasing outstanding invoices and ensuring that payments are made to the business within three days after approval. Key features include a straightforward application process, personalized consulting, competitive rates based on credit history, and a transparent communication system that allows clients to track their payment history and receive funds directly via email or phone.",,97,1-10,90,2018-02-10,,Omaha,NE,68102,US,+18558102485,,,2026-04-07
low similarity (90) in 11-50 band,primeadvisorinc.com,Prime Advisor Inc.,FINANCIAL_SERVICES:1.0,"invoice factoring:0.63, advisors invoice:0.61, invoices factoring:0.6, premier invoice:0.53, payments factoring:0.52, factoring funded:0.5, prime advisors:0.49, funded prime:0.47, reliable invoice:0.47, factoring services:0.46, factoring companies:0.46, advisor faster:0.42, progress billing:0.37, immediate financial:0.37, provides quick:0.36","Prime Advisor Inc. is an invoice factoring company that helps businesses access immediate cash through outstanding invoices. The service allows companies to submit their unpaid invoicing, which are then sold to a factoring provider for quick funding solutions, often within 24 hours of approval. Key features include a straightforward application process, flexible financing options tailored to business needs, and the ability to reduce debt by up to 50%. Prime Advisor serves various industries, including transportation, manufacturing, construction, and healthcare, providing support to help businesses manage their collections and maintain consistent cash flow.",,106,11-50,90,2021-12-30,,Los Angeles,CA,90001,US,+13234345353,m.garcia@primeadvisorinc.com,,2026-04-16
low similarity (90) in 1-10 band,adcomcapital.com,Advanced Commercial Capital,FINANCIAL_SERVICES:1.0,"freight factoring:0.68, factor freight:0.64, freight bills:0.58, submit freight:0.54, unpaid freight:0.52, signing freight:0.52, freight invoices:0.51, home freight:0.51, trucking business:0.5, solutions truckers:0.49, services factoring:0.47, fax cash:0.39, fuel discount:0.38, setup fees:0.37, free credit:0.37","The website offers a range of financial services focused on the financial well-being of its residents, including retirement savings and tax credits. It provides information about various investment opportunities, such as an annual general knowledge for Santa Clara University and federal income security. Users can access their personal finances online, with options for cashback rebates and life insurance coverage. The site also features a list of high school seniors in college and university specialties, along with their personal finance advice.","https://www.linkedin.com/company/advanced-commercial-capital-inc-, https://www.facebook.com/accfactor, https://www.instagram.com/adcomcapital, https://www.youtube.com/channel/UClQlvdi8YA4PCQyoSxIqWUA",165,1-10,90,2018-05-10,761 E. Dr.,Saint George,UT,84790,US,"+14356734655, +14356738724, +18554654655",info@adcomcapital.com,,2026-03-29
low similarity (90) in 11-50 band,diversifiedlenders.com,Diversified Lenders Inc.,FINANCIAL_SERVICES:1.0,"diversified lenders:0.62, financing equipment:0.6, finance brokerage:0.54, business diversified:0.54, leasing diversified:0.52, based lending:0.51, lenders specializes:0.5, financing solutions:0.5, home brokers:0.5, finance leasing:0.49, banking products:0.46, finances vendor:0.45, asset based:0.44, trucking companies:0.44, factoring services:0.42","Diversified Lenders Inc. provides financing solutions for commercial businesses and governmental entities across the United States through accounts receivable financing and equipment leasing. Their services include factoring, invoice purchasing, asset-based lending, and government finance options tailored to various industries such as trucking, manufacturing, and staffing. DiversifiedLenders aims to enhance cash flow and operational efficiency for its clients by offering immediate funding options that help them manage their working capital effectively.",https://www.linkedin.com/company/diversified-lenders-inc.,230,11-50,90,2017-06-29,5607 Avenue Q,Lubbock,TX,79412,US,"+18067957782, +18067970601",,,2026-04-07
low similarity (90) in 11-50 band,formula850max.com,Formula 850 Max,FINANCIAL_SERVICES:1.0,"business credit:0.56, build credit:0.54, loans freight:0.5, experiences freight:0.49, brokers trucking:0.46, credit programs:0.44, credit repair:0.43, loans credit:0.43, building financial:0.42, commerce development:0.4, web artisans:0.39, scale businesses:0.38, payment gateways:0.36, 250k business:0.35, factoring companies:0.33","Formula 850 Max is a platform designed to help truckers, freight brokers, and small business owners improve their credit and secure funding. It offers tools for building personal credit profiles, automating marketing strategies, and facilitating fast approvals for various loan products such as equipment loans and working capital. Key features include AI-powered chatbots, automated lead nurturing, and the ability to build websites that enhance online visibility and customer engagement. The system aims to unlock up to $250,000 in business credit lines within 30 days while reducing factoring costs.",,90,11-50,90,2024-12-26,,South Kingstown,RI,33308,US,+19082578141,"roymoreira@formula850max.com, support@formula850max.com",,2026-04-07
low similarity (90) in 1-10 band,qpfactoring.com,QP Capital LLC,FINANCIAL_SERVICES:1.0,"services trucking:0.59, trucking solutions:0.58, trucking scams:0.56, premiums trucking:0.55, company trucking:0.5, trucking factoring:0.49, truckers carriers:0.48, trucking terms:0.48, capital trucking:0.47, trucking home:0.46, companies qp:0.43, setup insurance:0.43, boc setup:0.33, rates brokers:0.31, dashcam savings:0.26","QP Capital Trucking Solutions is a factoring company that provides various services for trucking businesses. Its main offerings include Pure Non-Recourse, which allows companies to convert invoices into cash without incurring debt, and programs like New Authority Setup, BOC-3, UCR Set up, SCAC SETUP, IRP Setups, DOT BINDER setup, IFTA Setup & Renewal Setup. Additionally, QP Capital offers drug and alcohol consortium services to assist drivers in managing their insurance needs effectively.","https://www.linkedin.com/company/qp-trucking-solutions, https://www.facebook.com/qpfactoring, https://www.instagram.com/qpcapital, https://twitter.com/qpcapital, https://x.com/qpcapital, https://www.youtube.com/@qpcapital, https://www.youtube.com/channel/UCUlfep3o3iPMDILCi3HFwOw, https://www.tiktok.com/@qp_capital?lang=en",239,1-10,90,2017-09-27,4612 Follow Follow Follow Follow Follow Follow Reviews,Louisville,KY,40219,US,"+15023986333, +18337623464","qp@qpfactoring.com, marketing@qpfactoring.com, info@qpfactoring.com",,2026-03-26
low similarity (90) in 11-50 band,factorfunding.com,Factor Funding,FINANCIAL_SERVICES:1.0,"factor funding:0.56, factoring financing:0.56, funding cash:0.49, factoring purchase:0.48, businesses funding:0.48, business loans:0.47, funding quick:0.47, business cash:0.46, factoring companies:0.46, quick cash:0.46, banker factor:0.46, invoice factoring:0.45, factoring smart:0.44, offers financial:0.41, banks alternative:0.39","Factor Funding provides quick funding solutions for small businesses, particularly those with cash flow challenges. Their main services include accounts receivable factoring, debt collection, asset-based loans, merchant cash advances, equipment financing, settlement funding, and real estate investment. They offer a range of financing options tailored to various business needs, allowing clients to receive funds within 24–48 hours after approval. Factor Funding aims to streamline the funding process for companies by reducing upfront costs and improving overall cash flow.","https://www.linkedin.com/company/factor-funding-company, https://www.facebook.com/factorfunding, https://www.instagram.com/factorfundingco, https://twitter.com/https://twitter.com/factorfunding, https://x.com/factorfunding",366,11-50,90,2016-08-08,2800 Post Oak Blvd.,Houston,TX,77056,US,"+13019962026, +17136608300, +17136608311, +18662450020, +18667172274",info@factorfunding.com,,2026-03-17
low similarity (90) in 11-50 band,smartfreightfunding.com,"Smart Freight Funding, LLC","FINANCIAL_SERVICES:0.82, SUPPLY_CHAIN_AND_PROCUREMENT:0.08","smart freight:0.66, freight funding:0.63, bulk freight:0.62, bulk trucking:0.59, trucking bulk:0.57, freight users:0.57, freight quick:0.55, freight personal:0.52, haul load:0.49, experience trucking:0.48, paid hauling:0.46, trucking indu:0.45, smart pay:0.44, dispatching contracting:0.41, operating cash:0.38","Smart Freight Funding is a service that simplifies cash flow for bulk trucking companies by providing next-day payment options. Users can easily submit load loads, scan and send documents via the BulkLoads app, and receive payments within 24 hours upon submitting their documents. The platform offers features such as personal account management, invoicing without contracts, and optional fuel card programs to provide discounts on fuel costs. Additionally, it emphasizes transparency with no hidden fees or ACH charges, allowing users to manage their finances more effectively.",https://www.linkedin.com/company/smart-freight-funding,87,11-50,90,2021-10-19,2477 River Road Drive,Waterloo,NE,68069,US,"+14022605669, +18008382907","support@smartfreightfunding.com, upport@smartfreightfunding.com",,2026-03-18
low similarity (90) in 11-50 band,smartbrokerfactoring.com,S.M.A.R.T. Broker Factoring,"SAAS:0.86, FINANCIAL_SERVICES:0.13","freight factoring:0.74, future freight:0.64, freight finance:0.63, fleet factoring:0.6, freight broker:0.6, current freight:0.59, freight systems:0.59, redefine freight:0.56, consolidated freight:0.55, broker factoring:0.55, logistics optimizer:0.53, existing logistics:0.53, wintermute logistics:0.52, prime logistics:0.51, pricing ai:0.46","S.M.A.R.T. Broker Factoring is an AI-powered platform designed for freight factoring and payment processing. It connects to existing logistics platforms and load boards, analyzing real-time market conditions to offer competitive rates. Key features include same-day wire payments, instant payment options, automated audit reviews, and customizable payment terms tailored to business needs. The system aims to streamline the freight finance process while reducing manual workflows and improving overall efficiency.",,93,11-50,90,2023-12-09,,Denver,CO,80204,US,,,,2026-03-27
low similarity (90) in 1-10 band,cbacfunding.com,CBAC Funding,FINANCIAL_SERVICES:0.99,"invoice factoring:0.61, factoring invoice:0.56, services invoice:0.52, invoice discounting:0.49, contract trucking:0.47, trucking freight:0.43, factoring companies:0.42, banks factoring:0.39, logistics staffing:0.39, drives marketplace:0.35, industries banking:0.34, companies integrations:0.34, help business:0.34, financing cbac:0.32, upload financial:0.31","CBAC Funding is a platform that provides invoice factoring services for businesses looking to secure financing for their accounts receivable needs. Users create a free account and receive instant quotes from various banks and factoring companies, allowing them to compare bids and select the best pricing without needing extensive accounting knowledge. The platform integrates seamlessly with existing accounting software, enabling businesses to manage their financial data and receive funds within business days.","https://www.linkedin.com/company/2846030, https://www.linkedin.com/company/cbac-llc",195,1-10,90,2019-01-03,,Manchester,CT,06045,US,+18777691469,support@cbacfunding.com,,2026-04-03
low similarity (90) in 11-50 band,txpcapital.com,TXP Capital,FINANCIAL_SERVICES:1.0,"invoice factoring:0.66, bank factoring:0.57, factoring financial:0.53, factoring business:0.53, consultants factoring:0.52, cash invoice:0.51, business invoice:0.49, invoicing long:0.49, loans factoring:0.48, invoices experience:0.48, capital invoice:0.48, flow invoice:0.46, factoring oilfield:0.42, services trucking:0.41, txp easy:0.37","TXP Capital is a company that specializes in invoice factoring to help businesses access quick cash solutions for unpaid invoices. They provide funding by purchasing and collecting accounts receivable, with limits up to $10 million and rates as low as 1.25% per invoice. The process involves submitting an online application, receiving approval within 24 hours, and ensuring consistent cash flow without the complexities of traditional banking loans. TXP Capital caters to various industries, including oilfield services, trucking, logistics, and staffing agencies.","https://www.linkedin.com/company/txp-capital, https://www.facebook.com/txpcapitallubbock, https://www.youtube.com/channel/UCA66f60ZqSWArXLaCkKFOyQ",122,11-50,90,2018-04-26,4033 112Th St,Lubbock,TX,79423,US,+18065002701,info@txpcapital.com,,2026-03-15
low similarity (90) in 1-10 band,businessfactors.com,Business Factors & Finance,FINANCIAL_SERVICES:1.0,"invoice factoring:0.69, business factoring:0.65, factoring business:0.62, factoring company:0.59, factoring services:0.58, payroll factoring:0.58, trucking factoring:0.57, factors finance:0.56, commercial factoring:0.55, factoring startup:0.55, factoring telecom:0.53, factoring funded:0.52, downstream invoice:0.52, invoice funding:0.51, factor client:0.5","Business Factors & Finance provides invoice factoring services to help businesses improve their working capital. Their main functionality includes fast funding for outstanding invoices, payroll, and other expenses within 24 to 72 hours after approval. Key features include instant credit approvals, no hidden fees, and tailored financing solutions for various industries such as manufacturing, healthcare, and logistics. They offer both fixed-cost and recurring funding options to address specific business needs.","https://www.linkedin.com/company/business-factors, https://www.facebook.com/businessfactorsandfinance, https://www.facebook.com/pages/business-factors-inc/167244350063275, https://twitter.com/businessfactors, https://www.youtube.com/channel/UCyHDl30avRfQL-qoCidzgnw",364,1-10,90,2015-08-24,220 Avenue I,Redondo Beach,CA,90277,US,+18006723844,"info@businessfactors.com, sales@businessfactors.com",,2026-04-02
low similarity (90) in 1-10 band,acsfactors.com,Advanced Capital Solutions,FINANCIAL_SERVICES:1.0,"invoices freight:0.52, invoices cash:0.5, invoice factoring:0.47, processing invoices:0.45, ca clients:0.42, trucking services:0.4, acs financial:0.38, california finance:0.37, cash accounts:0.37, receivable management:0.37, advanced capital:0.35, wholesale distribution:0.35, riverside fontana:0.35, flow business:0.34, solutions llc:0.34","ACS Factors is a financial services company that specializes in accounts receivable management and cash advance for businesses across the US. Their main functionality includes processing invoices to secure immediate cash flow, credit management services that assess customer credit, and quick funding options such as daily payments on freight bills. They also offer specialized solutions for various industries, including trucking, manufacturing, wholesale bookings, and transportation, helping businesses increase their capital and productivity while ensuring prompt service and transparent communication with clients.","https://www.linkedin.com/company/advance-capital-solutions-llc-dba-acs-factors, https://www.facebook.com/acs-factors-191865621221104, https://www.twitter.com/acsfactors, https://x.com/acsfactors, https://www.youtube.com/channel/UCJPLN6k_PwZ6bQM8qjxVLAQ",103,1-10,90,2017-01-28,1202 Monte Vista Ave,Upland,CA,91786,US,"+19099465590, +19099465599","briana@acsfactors.com, info@acsfactors.com, jonathan@acsfactors.com, john@acsfactors.com",,2026-03-26
low similarity (90) in 1-10 band,cjfinancing.com,CJ Financing LLC,FINANCIAL_SERVICES:1.0,"financing factoring:0.63, loans factoring:0.58, financing cj:0.55, factoring companies:0.54, cj pay:0.5, factoring deliver:0.48, instantly factoring:0.47, california financing:0.47, factoring trust:0.47, app financing:0.46, factoring insta:0.45, ach funding:0.45, fees contracts:0.44, instant payment:0.41, membership ifa:0.4","CJ Financing is a financial services company that specializes in factoring and financing solutions for the transportation, farming, and agriculture industries. They offer instant and next-day ACH funding with no annual contracts or hidden fees, ensuring customers receive payments quickly and efficiently. Key features include free credit checks, bilingual customer support, and tailored loan options such as $15,000 to $150,000, along with specialized programs like farm land investments and equipment lending. The company emphasizes transparency and ethical business practices in its operations.","https://www.linkedin.com/company/cj-financing-llc, https://apps.apple.com/us/app/cj-pay-by-cj-financing/id6737598998",75,1-10,90,2020-02-26,3001 Red Hill Ave Bldg 3,Costa Mesa,CA,92626,US,"+16576993035, +19495258122, +19497559574","pgomez@cjfinancing.com, info@cjfinancing.com",,2026-04-13
low similarity (90) in 11-50 band,saintjohncapital.com,Saint John Capital,FINANCIAL_SERVICES:1.0,"freight factoring:0.53, capital freight:0.48, fees freight:0.45, credit fuel:0.45, fuel discounts:0.43, factoring services:0.42, factoring companies:0.42, trucking companies:0.42, cash advance:0.42, rates saint:0.4, sjc credit:0.37, john capital:0.33, premiums payroll:0.31, tms integrations:0.3, ensures getting:0.29","Saint John Capital is a freight factoring company that provides financial services to trucking companies. Its main offerings include cash advances, lines of credit for various expenses, and fuel card benefits. The platform integrates with major transit systems (TMS) to simplify the process of managing finances and eliminating hidden fees. Customers can easily obtain quotes online or by phone, and the company offers competitive rates tailored to different industries such as general freight, logistics, and manufacturing.","https://www.linkedin.com/company/saint-john-capital, https://www.facebook.com/saintjohncapital, https://x.com/sjcfactoring, https://www.youtube.com/channel/UC7Vnki3YfT3Ij8L1mPOZ2HQ/videos",169,11-50,90,2020-04-11,8725 W. Higgins Road,Chicago,IL,60631,US,+18474303620,sales@saintjohncapital.com,,2026-04-02
low similarity (90) in 11-50 band,integrafunding.com,Integra Funding Solutions,FINANCIAL_SERVICES:1.0,"invoice factoring:0.62, funding invoices:0.53, freight factoring:0.51, integra funding:0.5, companies integra:0.49, fintechs integra:0.49, loan factoring:0.47, accountants affiliates:0.46, rate integra:0.45, fri invoice:0.44, factoring industries:0.44, loan brokers:0.41, brokers dispatchers:0.39, bank speed:0.38, fdic regulated:0.36","Integra Funding offers invoice factoring and working capital solutions tailored for various industries, including transportation, oil & gas, staffing, and manufacturing. The service provides same-day funding by submitting necessary paperwork at a specified time, with funds sent within 24 hours. Key features include direct communication with dedicated account managers, transparent pricing without hidden fees, and flexible financing options that can be adjusted as needed. Integra Funding aims to simplify the process of managing operational expenses while ensuring security and transparency for its clients.","https://www.linkedin.com/company/9505310, https://www.linkedin.com/company/integra-funding-solutions-llc, https://www.facebook.com/integra.funding",170,11-50,90,2015-04-25,6300 In Facebook-F,Fort Worth,TX,76116,US,"+18665528536, +19727209000",sales@integrafunding.com,,2026-04-10
low similarity (90) in 11-50 band,citadelfinancialgroupllc.com,Citadel Financial Group,FINANCIAL_SERVICES:1.0,"invoice factoring:0.62, financing invoice:0.61, factoring invoices:0.58, quicker invoice:0.56, incurred invoice:0.51, invoices immediate:0.51, capital invoice:0.51, citadel financial:0.5, solution invoice:0.49, financing hardworking:0.44, business loans:0.44, factoring services:0.43, debt help:0.42, payment processes:0.4, infusion funds:0.39","Citadel Financial Group offers invoice factoring services to help businesses access immediate cash through their outstanding invoices. The service allows companies to sell their receivables quickly, enabling quick funding for various financial needs such as operating expenses and inventory purchases. Key features include a flexible financing solution tailored to the specific business requirements, no debt incurred due to credit checks or modifications based on customer creditworthiness, and a focus on transparency and communication throughout the process.",,93,11-50,90,2021-01-23,Po Box 53625,Lubbock,TX,79453,US,"+13254506123, +18065441422, +18065893666, +18067892023, +18065153975","amy@citadelfinancialgroupllc.com, saul@citadelfinancialgroupllc.com, melissa@citadelfinancialgroupllc.com",,2026-04-02
low similarity (90) in 11-50 band,expeditedfinancial.com,Expedited Financial,FINANCIAL_SERVICES:0.99,"invoicing needs:0.57, invoicing factoring:0.53, solution invoicing:0.51, factoring invoicing:0.51, invoicing process:0.5, invoices consultation:0.49, invoice monthly:0.48, billing invoicing:0.46, needs invoice:0.45, invoices early:0.44, services factoring:0.37, financial home:0.36, expedited financial:0.36, factoring consultation:0.35, term commitment:0.29","Expedited Financial provides invoicing and factoring services for businesses. Their main offerings include same-day funding for open invoices, back office support to streamline billing processes, and fuel advances for transit loads. They offer a streamlined process that includes consulting on invoice needs, providing updated aging reports, and facilitating cash flow quickly to address operational challenges.",,82,11-50,90,2018-06-29,,Cincinnati,OH,45202,US,+15593832381,"info@expeditedfinancial.com, accounting@expeditedfinancial.com",,2026-03-24
domain-excluded (roadsync.com),roadsync.com,RoadSync,FINANCIAL_SERVICES:1.0,"logistics payments:0.66, payments logistics:0.66, logistics transactions:0.64, logistics best:0.63, freight logistics:0.62, truck freight:0.62, revolutionizes logistics:0.59, payments warehouse:0.57, chain logistics:0.57, way logistics:0.56, payments towing:0.52, solutions truck:0.52, roadsync checkout:0.46, road service:0.45, driver broker:0.44","RoadSync is a digital payment system designed specifically for truck and freight logistics. It streamlines the process of paying expenses through various methods, including fleet checks, fuel cards, and vehicle payments, allowing drivers to manage their over-the-road expenses from their mobile devices. Key features include real-time invoice creation, integration with other systems like ACH transfers and credit card processing, and tools for managing work order authorizations to prevent chargebacks. The platform also offers 24/7 support and aims to enhance cash flow and operational control across different industries such as repair services, distributors, and manufacturers.","https://www.linkedin.com/company/roadsync, https://www.facebook.com/385979868221675, https://www.facebook.com/roadsync, https://twitter.com/goroadsync, https://x.com/goroadsync, https://www.youtube.com/channel/UC6idNRiuKax88CcGlO4xELQ",552,51-200,90,2017-11-27,715 Peachtree St. Ne,Atlanta,GA,30308,US,+18669469586,"info@roadsync.com, bigrig411@roadsync.com",,2026-04-03
low similarity (90) in 1-10 band,rpmquickpay.com,RPM QuickPay,FINANCIAL_SERVICES:1.0,"rpm triumph:0.63, triumph business:0.54, triumph tool:0.52, triumph 651:0.51, triumph makes:0.5, load triumph:0.49, rpm quickpay:0.49, triumph 15:0.49, quickpay invoice:0.46, rpm group:0.43, factoring triumph:0.41, truckers paid:0.4, drive suite:0.37, equipment financing:0.37, costs doing:0.33","RPM QuickPay is an invoice factoring service designed specifically for truckers. It helps owner and operator drivers quickly get paid by transforming invoices into cash, with no minimums required, as well as same-day funding when submitted documents before 12 PM CST. The service offers various financial solutions, including free broker credit checks, equipment financing, and fuel card discounts to support business growth.",,89,1-10,90,2019-03-15,2023 Triumph | 651 Canyon Drive,Coppell,TX,75019 |,US,"+18663560888, +18777217630",,,2026-03-27
broker-pattern: 'connects clients with',aerofund.com,AeroFund Financial Inc.,FINANCIAL_SERVICES:1.0,"buyer aerofund:0.63, aerofund accounts:0.63, aerofund financial:0.62, customer aerofund:0.62, services aerofund:0.62, aerofund sale:0.6, shopping aerofund:0.59, aerofund provides:0.57, company aerofund:0.56, invoice factoring:0.54, cash invoices:0.51, 2026 aerofund:0.5, freight factoring:0.49, invoice financing:0.49, freight bills:0.45","AeroFund Financial offers accounts receivable factoring services that help businesses convert their outstanding freight bills into cash within 24 hours. The service connects clients with a network of over 1,500 account managers to facilitate the sale and purchase of invoices, eliminating the need for traditional banking methods. Key features include no personal credit, free credit checks, unlimited payroll processing, and ongoing financial solutions tailored to various industries such as transportation, manufacturing, and electrical services.","https://www.linkedin.com/company/aerofund-financial-inc, https://www.facebook.com/155281277842129, https://www.facebook.com/aerofund, https://www.instagram.com/aerofundfinancial, https://www.twitter.com/aerofund, https://www.youtube.com/user/TheAerofund",174,11-50,90,2015-11-21,6910 Santa Teresa Blvd.,San Jose,CA,95119,US,"+14082247080, +14082247081, +14082247082, +14082247088, +14082247094, +14082247098, +14082297180, +14082297182, +14082297190, +14082297192, +14083602870, +14083602898, +14083891791, +14083891858, +18007474234, +18473801235, +18477676110","chulme@aerofund.com, ltroy@aerofund.com, stroy@aerofund.com, rsimpkins@aerofund.com, billr@aerofund.com, dgodard@aerofund.com, aportera@aerofund.com, janaeg@aerofund.com, etraspe@aerofund.com, jjackson@aerofund.com, jgodard@aerofund.com, ctroy@aerofund.com, hfryer@aerofund.com, rcarrillo@aerofund.com, jdelrio@aerofund.com",,2026-03-31
low similarity (90) in 1-10 band,wwpaysys.com,WW Payment Systems,FINANCIAL_SERVICES:1.0,"payment systems:0.53, cash flow:0.49, solution cash:0.47, payday convert:0.46, discount deposit:0.46, quick pay:0.43, cash day:0.43, pay fee:0.42, load credit:0.42, account charge:0.42, ww payment:0.41, pay application:0.39, brokers shippers:0.37, accounts factors:0.35, application espan:0.3","WW Payment Systems is a service that simplifies cash flow for truckers by converting accounts receivable into cash the day of delivery. They charge only a one fee when purchasing loads, which reduces deposit costs and eliminates the risk associated with brokers or carriers. The company accepts loads from over 2,000 approved brokers and offers credit factor checks for new customers at no cost to drivers who are less than certain brokers. WW Payment Systems emphasizes long-term relationships with clients, allowing them to terminate their agreements at any time.",,131,1-10,90,2018-07-04,5801 Ne Highway 99,Vancouver,WA,98665,US,"+13603142004, +13608285795, +13608528428, +13608529428",carrierservices@wwpaysys.com,,2026-03-25
